시도명,시군구명,관리기관명,지정번호,보호수지정일자,보호수유형명,학명,나무종류,그루수,나무나이,나무높이,가슴높이둘레,품격명,지목명,소재지도로명주소,위도,경도
제주특별자치도,제주시,제주시,13-1-5-1,1982-10-22,노목+거목,Gleditsia japonica var. koraiensis Nakai,주엽나무,1,150,12,1.9,마을나무,도로,제주특별자치도 제주시 이도1동 1941,33.50299801,126.5266636
제주특별자치도,제주시,제주시,13-1-6-37,1982-10-22,노목+거목,Cinnamomum camphora (L.) J.Presl,녹나무,1,250,11,2.6,면나무,대,제주특별자치도 제주시 삼도2동 54,33.51345906,126.5223535
제주특별자치도,제주시,제주시,13-1-8-3,1982-10-22,노목+거목,Celtis sinensis Pers,팽나무,1,200,10,2.4,면나무,도로,제주특별자치도 제주시 화북1동 1995-4,33.52222975,126.565982
제주특별자치도,제주시,제주시,13-1-9-4,1982-10-22,노목+거목,Celtis sinensis Pers,팽나무,1,250,9,3.7,면나무,대,제주특별자치도 제주시 삼양2동 2101-11,33.52374541,126.5825341
제주특별자치도,제주시,제주시,13-1-9-5,1982-10-22,노목+거목,Celtis sinensis Pers,팽나무,1,250,11,4.7,면나무,대,제주특별자치도 제주시 도련1동 1700,33.5095695,126.5870055
제주특별자치도,제주시,제주시,13-1-9-6,1982-10-22,노목+거목,Celtis sinensis Pers,팽나무,1,250,10,3.4,면나무,대,제주특별자치도 제주시 도련2동 538,33.51649921,126.5890779
제주특별자치도,제주시,제주시,13-1-10-17,1982-10-22,노목+거목,Castanopsis sieboldii (Makino) Hatus,구실잣밤나무,1,250,10,2.98,면나무,묘지,제주특별자치도 제주시 용강동 716,33.47542567,126.5908945
제주특별자치도,제주시,제주시,13-1-10-18,1982-10-22,노목+거목,Celtis sinensis Pers,팽나무,1,150,12,4.8,마을나무,과수원,제주특별자치도 제주시 회천동 2108,33.49787695,126.6094278
제주특별자치도,제주시,제주시,2013-01-02,1982-10-22,노목+거목,Castanopsis sieboldii (Makino) Hatus,구실잣밤나무,1,300,15,5,시·군나무,하천,제주특별자치도 제주시 아라2동 2986,33.47454494,126.5581822
제주특별자치도,제주시,제주시,13-1-11-38,1982-10-22,노목+거목,Celtis sinensis Pers,팽나무,1,200,21,5.1,면나무,과수원,제주특별자치도 제주시 영평동 2007-1,33.47185818,126.5690814
제주특별자치도,제주시,제주시,13-1-12-21(1),1982-10-22,노목+거목,Pinus thunbergii Parl.,해송,1,200,12,2.4,면나무,하천,제주특별자치도 제주시 오라1동 3819-3,33.49451926,126.514992
제주특별자치도,제주시,제주시,13-1-12-21(2),1982-10-22,노목+거목,Pinus thunbergii Parl.,해송,1,250,13,2.9,면나무,하천,제주특별자치도 제주시 오라1동 3819-3,33.49451926,126.514992
